date;ticker;ALPHA_OVERRIDABLE;ASSET_CVRG_RATIO;BB_1YR_DEFAULT_PROB;BB_2Y_DEFAULT_PROB;BB_3Y_DEFAULT_PROB;BB_4Y_DEFAULT_PROB;BB_5Y_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_BPS;BEST_CPS;BEST_CUR_EV_TO_EBITDA;BEST_EBIT;BEST_EBITDA;BEST_EPS;BEST_EPS_GAAP;BEST_EPS_MEDIAN;BEST_EPS_NUMEST;BEST_NET_DEBT;BEST_NET_INCOME;BEST_OPP;BEST_PEG_RATIO;BEST_PE_RATIO_GAAP;BEST_ROE;BEST_SALES;BEST_TARGET_PRICE;BETA_ADJ_OVERRIDABLE;BETA_STD_DEV_ERR_OVERRIDABLE;BLOOMBERG_ISSUER_DEFAULT_SCORE;CAPITAL_EXPEND;CAP_EXPEND_RATIO;CASH_RATIO;CFO_TO_AVG_CURRENT_LIABILITIES;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;COUNTRY_RISK_DIVIDEND_YIELD;COUNTRY_RISK_GROWTH_RATE;COUNTRY_RISK_MARKET_RETURN;COUNTRY_RISK_PAYOUT_RATIO;COUNTRY_RISK_PREMIUM;CUR_RATIO;DEBT_TO_MKT_CAP;EARN_FOR_COMMON;EBITDA;EBITDA_TO_INTEREST_EXPN;EBITDA_TO_REVENUE;EBIT_TO_INT_EXP;ENTERPRISE_VALUE;EQY_FLOAT;EQY_REC_CONS;EQY_WEIGHTED_AVG_PX;EST_PE_CUR_YR;EV_TO_T12M_SALES;FCF_TO_TOTAL_DEBT;FREE_CASH_FLOW_YIELD;GROSS_MARGIN;GROSS_PROFIT;HISTORICAL_MARKET_CAP;IS_DIL_EPS_CONT_OPS;LONG_TERM_PRICE_EARNINGS_RATIO;NET_DEBT;NET_DEBT_TO_CASHFLOW;NET_DEBT_TO_EBITDA;NET_INCOME_TO_COMMON_MARGIN;NUM_TRADES;PE_RATIO;PRICE_TO_COMPARABLE_EPS;PX_ASK;PX_BID;PX_ERN_RATIO_WITH_LOW_CLOS_PX;PX_HIGH;PX_LAST;PX_LOW;PX_MID;PX_OFFICIAL_CLOSE;PX_OPEN;PX_TO_CASH_FLOW;PX_TO_EBITDA;PX_TO_EPS_BEFORE_ABNORMAL_ITEMS;PX_TO_FREE_CASH_FLOW;PX_TO_SALES_RATIO;PX_TO_TANG_BV_PER_SH;PX_VOLUME;QUICK_RATIO;REL_SHR_PX_MOMENTUM;RISK_PREMIUM;RSK_BB_IMPLIED_CDS_SPREAD;SALES_GROWTH;SALES_REV_TURN;SHORT_AND_LONG_TERM_DEBT;T12M_DIL_PE_CONT_OPS;TOTAL_DEBT_TO_EV;TOT_ANALYST_REC;TOT_BUY_REC;TOT_DEBT_TO_COM_EQY;TOT_DEBT_TO_TOT_ASSET;TOT_HOLD_REC;TOT_SELL_REC;VAR_SWAP_12M_LV;VOLATILITY_20D;VOLATILITY_260D;VOLATILITY_30D;VOLATILITY_360D;VOLATILITY_90D;VWAP_VOLUME;WACC_COST_DEBT;WACC_COST_EQUITY;Variavel_resposta
04/04/2014 00:00;AMZN US Equity;0.0415;41.053;0.000006223;0.000277465;0.001207929;0.002609307;0.004419517;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431.868;11.892;0.0924;1;-1080;-23.167;0.4721;0.327;-2502;-3582;2.07;118.163;101.115;332.774;73.908;10.528;0.0265;108;1156;275.238;58.558;34.762;149992.9;374.665;4.468;3.226.041;10.209;19.199;0.3793;1.019;28.803;5686;154727.9;0.23;2.544.323;-4735;-0.886;-11.081;0.5471;123145;5.126.984;5.126.984;322.81;322.78;5.126.984;335.44;323;315.61;322.795;0;335.15;275.905;346.173;5.046.875;981.353;18.931;19.359;12534578;0.687;4.64;9.591;72;228.438;19741;3931;5.126.984;0.0262;47;36;380.616;108.101;10;1;3.433.994;24.295;28.911;23.469;28.549;31.404;12354284;14.411;12.309;0
07/04/2014 00:00;AMZN US Equity;0.0401;41.053;0.000006487;0.000283805;0.001226078;0.002639934;0.004460517;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431.949;11.903;0.0925;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.957;118.021;101.628;33.264;74.629;10.528;0.0269;108;1156;275.238;58.558;34.762;149992.9;374.665;4.468;3.186.816;10.043;19.199;0.3793;10.358;28.803;5686;154727.9;0.23;2.503.047;-4735;-0.886;-11.081;0.5471;74335;504.381;504.381;317.83;317.76;504.381;324.94;317.76;313.13;317.795;0;320.99;271.429;340.558;496.5;965.433;18.624;190.449;7077360;0.687;3.761;9.591;73;228.438;19741;3931;504.381;0.0262;47;36;380.616;108.101;10;1;3.375.275;24.5;28.904;22.831;28.516;31.405;7013544;14.411;12.309;1
08/04/2014 00:00;AMZN US Equity;0.0447;41.053;0.000006306;0.000279763;0.001215097;0.002622209;0.004437675;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431.949;1.192;0.0926;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.871;118.412;101.569;332.918;74.761;10.528;0.0262;108;1156;275.238;58.558;34.762;149992.9;374.665;4.468;3.249.312;10.337;19.199;0.3793;10.063;28.803;5686;154727.9;0.23;2.576.383;-4735;-0.886;-11.081;0.5471;66459;5.191.587;5.191.587;327.37;327.23;5.191.587;328;327.07;318.44;327.3;0;321.88;279.381;350.535;5.110.469;993.719;19.169;196.029;6585583;0.687;3.382;9.591;72;228.438;19741;3931;5.191.587;0.0262;47;36;380.616;108.101;10;1;33.194;27.697;29.04;24.783;28.613;31.732;6470723;14.411;12.309;0
09/04/2014 00:00;AMZN US Equity;0.0447;41.053;0.00000608;0.000274285;0.001199347;0.002595579;0.004401985;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431.949;1.192;0.0924;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.642;119.056;10.124;332.934;74.342;10.528;0.0258;108;1156;275.238;58.558;34.762;149992.9;374.665;4.468;3.276.196;10.487;19.199;0.3793;0.992;28.803;5686;154727.9;0.23;2.613.682;-4735;-0.886;-11.081;0.5471;51510;5.266.746;5.266.746;331.81;331.67;5.266.746;332.18;331.805;322.5;331.74;0;328.47;283.426;35.561;5.184.453;1.008.105;19.447;198.867;5058664;0.687;2.751;9.591;72;228.438;19741;3931;5.266.746;0.0262;47;36;380.616;108.101;10;1;3.376.688;28.6;29.006;25.316;28.636;31.676;4985496;14.411;12.309;0
10/04/2014 00:00;AMZN US Equity;0.0413;41.053;0.00000738;0.000304578;0.001285124;0.002739509;0.004593894;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431.949;1.199;0.0923;1;-1080;-23.167;0.4721;0.327;-2502;-3582;21.086;118.711;102.175;333.065;75.702;10.528;0.0269;108;1156;275.238;58.558;34.762;149992.9;375.542;4.468;3.215.839;9.855;19.199;0.3793;10.379;28.803;5686;154727.9;0.23;2.497.927;-4735;-0.886;-11.081;0.5471;65327;5.033.492;5.033.492;317.11;317.01;5.033.492;331;317.11;316.5;317.06;0;330.6;270.874;339.861;4.954.844;963.458;18.586;190.059;6133376;0.687;1.854;9.591;75;228.438;19741;3931;5.033.492;0.0262;47;36;380.616;108.101;10;1;3.517.919;31.639;29.368;28.175;28.899;32.532;6083440;14.411;12.309;0
11/04/2014 00:00;AMZN US Equity;0.041;41.053;0.000007703;0.000311753;0.001305105;0.002772814;0.00463813;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.718;12.009;0.0922;1;-1080;-23.167;0.4721;0.327;-2502;-3582;21.297;118.841;10.273;331.931;76.483;10.528;0.0274;108;1156;275.238;58.558;34.762;149992.9;375.542;4.468;312.5;9.688;19.199;0.3793;10.558;28.803;5686;154727.9;0.23;2.455.548;-4735;-0.886;-11.081;0.5471;74284;4.948.095;4.948.095;311.77;311.72;4.948.095;316.5;311.73;309.5;311.745;0;314;266.278;334.095;4.870.781;947.112;1.827;186.835;7292028;0.687;1.193;9.591;75;228.438;19741;3931;4.948.095;0.0262;47;36;380.616;108.101;10;1;3.537.962;31.416;29.372;28.421;28.918;32.495;7190596;14.411;12.309;0
14/04/2014 00:00;AMZN US Equity;0.0443;41.053;0.00000745;0.000306154;0.001289526;0.002746856;0.004603659;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.718;12.033;0.0927;1;-1080;-23.167;0.4721;0.327;-2502;-3582;21.116;117.672;101.833;333.072;75.361;10.528;0.027;108;1156;275.238;58.558;34.762;149992.9;375.542;4.468;3.152.631;9.818;19.199;0.3793;10.419;28.803;5686;154727.9;0.23;2.488.474;-4735;-0.886;-11.081;0.5471;45545;5.014.444;5.014.444;315.92;315.84;5.014.444;320.48;315.91;311.28;315.88;0;317.67;269.849;338.575;4.936.094;959.812;18.515;18.934;4293532;0.687;-0.053;9.591;75;228.438;19741;3931;5.014.444;0.0262;47;36;380.616;108.101;10;1;35.27;31.748;29.399;28.53;28.864;32.591;4160000;14.411;12.309;0
15/04/2014 00:00;AMZN US Equity;0.0427;41.053;0.00000744;0.000305929;0.001288898;0.002745808;0.004602266;4.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.718;12.021;0.0926;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.981;11.771;101.391;33.306;75.108;10.528;0.027;108;1156;275.238;58.558;34.762;149992.9;375.542;4.468;3.118.602;9.823;19.199;0.3793;10.413;28.803;5686;154727.9;0.23;2.489.813;-4735;-0.886;-11.081;0.5471;58604;5.017.143;5.017.143;316.08;316;5.017.143;318.28;316.08;305.5;316.04;0;316.7;269.994;338.757;493.875;960.328;18.525;189.442;5399337;0.687;-0.379;9.591;75;228.438;19741;3931;5.017.143;0.0262;47;36;380.616;108.101;10;1;3.511.275;31.89;29.362;27.255;28.807;32.594;5293693;14.411;12.309;0
16/04/2014 00:00;AMZN US Equity;0.0445;41.053;0.00000701;0.000296193;0.001261597;0.002700161;0.004541519;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433.9;12.043;0.0924;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.777;117.329;100.506;333.374;74.224;10.528;0.0264;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.195.696;10.059;19.199;0.3793;10.169;28.803;5686;154727.9;0.23;254.968;-4735;-0.886;-11.081;0.5471;44571;5.137.778;5.137.778;323.68;323.48;5.137.778;324;323.68;314.71;323.58;0;321.17;276.486;346.902;505.75;983.419;18.971;193.997;4285901;0.687;-1.258;9.591;74;228.438;19741;3931;5.137.778;0.0262;47;37;380.616;108.101;9;1;3.463.344;34.046;29.424;28.616;28.868;32.863;4224114;14.411;12.309;0
17/04/2014 00:00;AMZN US Equity;0.0456;41.053;0.000006959;0.000295432;0.001260196;0.002698838;0.00454088;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433.9;1.206;0.0927;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.762;116.875;100.159;33.337;72.944;10.528;0.0263;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.253.026;10.098;19.199;0.3793;1.013;28.803;5686;154727.9;0.23;2.559.369;-4735;-0.886;-11.081;0.5471;44280;5.157.302;5.157.302;324.93;324.91;5.157.302;328.66;324.91;319.76;324.92;0;319.76;277.536;348.221;5.076.719;987.156;19.043;194.734;4300378;0.687;-2.083;9.591;74;228.438;19741;3931;5.157.302;0.0262;47;37;380.616;108.101;9;1;3.394.088;33.663;29.416;28.701;28.869;32.873;4265095;14.411;12.309;0
21/04/2014 00:00;AMZN US Equity;0.0438;41.053;0.000006649;0.000288207;0.001239738;0.002664482;0.004495035;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433.65;12.105;0.0931;1;-1080;-23.167;0.4721;0.327;-2502;-3582;2.069;116.855;99.885;332.587;72.734;10.528;0.0258;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.280.714;10.283;19.199;0.3793;0.9948;28.803;5686;154727.9;0.23;2.606.317;-4735;-0.886;-11.081;0.5471;33029;5.251.905;5.251.905;330.9;330.77;5.251.905;331.15;330.87;322.31;330.835;0;323.97;282.627;354.608;5.169.844;1.005.264;19.392;198.306;3000598;0.687;-3.724;9.591;73;228.438;19741;3931;5.251.905;0.0262;47;37;380.616;108.101;9;1;3.386.431;33.872;29.439;29.506;28.906;33.013;2976165;14.411;12.309;0
22/04/2014 00:00;AMZN US Equity;0.0417;41.053;0.000006471;0.000283735;0.001226495;0.002641486;0.004463529;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.9;12.097;0.093;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.634;116.862;9.963;332.511;72.525;10.528;0.0259;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.323.024;10.235;19.199;0.3793;0.9994;28.803;5686;154727.9;0.23;2.594.107;-4735;-0.886;-11.081;0.5471;41537;5.227.302;5.227.302;329.4;329.31;5.227.302;337.5;329.32;328.94;329.355;0;332;281.303;352.947;5.145.625;1.000.555;19.301;197.377;3714288;0.687;-3.905;9.591;73;228.438;19741;3931;5.227.302;0.0262;47;37;380.616;108.101;9;1;3.380.606;33.584;29.387;29.507;28.873;32.944;3656947;14.411;12.309;0
23/04/2014 00:00;AMZN US Equity;0.0393;41.053;0.000006712;0.000289418;0.001242669;0.002668709;0.00449991;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.9;12.105;0.093;1;-1080;-23.167;0.4721;0.327;-2502;-3582;2.072;116.784;99.763;332.443;72.776;10.528;0.0263;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.258.905;10.087;19.199;0.3793;1.014;28.803;5686;154727.9;0.23;2.556.769;-4735;-0.886;-11.081;0.5471;41537;5.152.063;5.152.063;324.58;324.5;5.152.063;333.13;324.58;323.39;324.54;0;333.06;277.255;347.867;5.071.562;986.153;19.023;194.537;3604586;0.687;-4.835;9.591;74;228.438;19741;3931;5.152.063;0.0262;47;37;380.616;108.101;9;1;3.383.219;32.009;29.408;29.54;28.886;33.017;3506693;14.411;12.309;0
24/04/2014 00:00;AMZN US Equity;0.0453;41.053;0.000003046;0.000190518;0.000949581;0.002169848;0.003830629;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432.9;12.109;0.0934;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.694;116.769;99.626;332.198;72.821;10.528;0.0253;108;1156;275.238;58.558;34.762;149992.9;375.542;4.511;3.349.441;10.478;19.199;0.3793;0.9762;28.803;5686;154727.9;0.23;2.655.785;-4735;-0.886;-11.081;0.5471;94363;5.351.587;5.351.587;337.17;337;5.351.587;337.4;337.15;322.95;337.085;0;329.67;287.992;361.339;5.267.969;1.024.344;1.976;20.207;9293735;0.687;-5.479;9.591;63;228.438;19741;3931;5.351.587;0.0262;47;37;380.616;108.101;9;1;33.53;35.026;29.578;32.131;29.008;33.673;9180146;14.411;12.309;0
25/04/2014 00:00;AMZN US Equity;0.0255;41.053;0.000003963;0.000219835;0.001042387;0.002333554;0.004055933;4.511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420.85;12.276;0.0964;1;-1080;-23.167;0.4721;0.327;-2502;-3582;20.777;116.033;99.741;332.228;73.118;10.528;0.0281;108;1156;275.238;58.558;34.762;149992.9;375.567;4.511;3.078.976;11.411;19.199;0.3793;10.833;28.803;5686;154727.9;0.23;2.393.318;-4735;-0.886;-11.081;0.5471;134.217.728;4.822.698;4.822.698;303.6;303.59;4.822.698;316.49;303.83;302.71;303.595;0;316.25;25.953;325.628;4.747.344;92.311;17.807;18.21;16186737;0.687;-6.048;9.591;66;228.438;19741;3931;4.822.698;0.0262;47;37;380.616;108.101;9;1;3.374.463;51.993;31.347;43.902;30.315;37.879;16051992;14.411;12.309;0
